Date [yyyy-mm-dd-hh-mm];Electrical Energy Price [â‚¬/MWh]
01.12.2021 06:00;133,5
01.12.2021 06:05;-15,88
01.12.2021 06:10;98,72
01.12.2021 06:15;164,98
01.12.2021 06:20;217,49
01.12.2021 06:25;73,94
01.12.2021 06:30;117,5
01.12.2021 06:35;134,34
01.12.2021 06:40;134,62
01.12.2021 06:45;125,6
01.12.2021 06:50;117,31
01.12.2021 06:55;114,22
01.12.2021 07:00;96,15
01.12.2021 07:05;115,24
01.12.2021 07:10;112,59
01.12.2021 07:15;102,33
01.12.2021 07:20;91,45
01.12.2021 07:25;102,09
01.12.2021 07:30;97,04
01.12.2021 07:35;100,84
01.12.2021 07:40;92,03
01.12.2021 07:45;92,92
01.12.2021 07:50;102,5
01.12.2021 07:55;103,17
01.12.2021 08:00;103,68
